Country,BQ,TQ
Austria,61.9,81.8
Belgium,60.7,88.6
Canada,80,93
Chile,45.3,60.5
Czechia,51.8,83.5
Denmark,57.9,81.5
Estonia,36.2,77.6
Finland,57.2,82.1
France,58.3,80.1
Germany,51.2,78.3
Greece,77.9,83.9
Hungary,52.1,77.6
Ireland,65.5,90.7
Israel,78.9,87.3
Italy,72,79.1
Latvia,28.6,68.7
Lithuania,27.7,69.1
Luxembourg,72.5,78.8
Netherlands,58.7,85.2
New Zealand,86.7,92
Poland,52.2,77.4
Portugal,36.9,62.9
Slovak Republic,58.9,76.7
Slovenia,56.1,80.1
Spain,65.2,80.1
Sweden,62.8,81.9
Switzerland,69.6,90.2
Türkiye,67,74.1
