Year,AustriaBQ,BelgiumBQ,CanadaBQ,CzechiaBQ,DenmarkBQ,EstoniaBQ,FinlandBQ,FranceBQ,GermanyBQ,GreeceBQ,HungaryBQ,IcelandBQ,IrelandBQ,IsraelBQ,ItalyBQ,LatviaBQ,LithuaniaBQ,LuxembourgBQ,NetherlandsBQ,New ZealandBQ,NorwayBQ,PolandBQ,PortugalBQ,Slovak RepublicBQ,SloveniaBQ,SpainBQ,SwedenBQ,SwitzerlandBQ,TurkiyeBQ,United KingdomBQ,United StatesBQ,AustriaTQ,BelgiumTQ,CanadaTQ,CzechiaTQ,DenmarkTQ,EstoniaTQ,FinlandTQ,FranceTQ,GermanyTQ,GreeceTQ,HungaryTQ,IcelandTQ,IrelandTQ,IsraelTQ,ItalyTQ,LatviaTQ,LithuaniaTQ,LuxembourgTQ,NetherlandsTQ,New ZealandTQ,NorwayTQ,PolandTQ,PortugalTQ,Slovak RepublicTQ,SloveniaTQ,SpainTQ,SwedenTQ,SwitzerlandTQ,TurkiyeTQ,United KingdomTQ,United StatesTQ
2010,55.8,57.7,77.6,51.6,64.7,39.2,57.3,63,52.5,67.8,54.2,73.9,77.9,86.3,62,39.6,50.7,69.5,67.1,..,67.2,52.6,35.1,59.8,44.1,64.7,67.6,70.4,59,70.7,74.3,81.8,86.9,94.1,77.9,82.1,74.9,79.6,73.5,78.6,87.6,63.9,81.1,92.4,95.9,76.2,64,64.6,83.5,87.7,..,85.8,70.8,65.7,76.9,73.6,82.7,87.7,90.7,72.8,90.8,96
2011,56.1,57.6,79.4,49.9,66.3,39.4,55.2,61,51.6,70.2,51.6,73.6,78.7,88.1,59.6,42.7,44.9,63.1,67.1,..,65.6,52,40.3,60.8,45.4,70.4,68.6,69.7,60.7,69.3,73.4,81.2,87.2,94.7,75.4,81.3,75.2,81.2,73.7,77,86.8,69.4,84.6,93.7,96,74.3,60.7,58.5,83,87,..,84.8,68.9,65.6,74.3,74.6,84.5,88.5,90,74.7,88.1,95.6
2012,59.6,60.9,79.2,49.9,64.3,36.3,51.3,62.4,50.7,77.3,51.8,73,77.2,87.6,64.6,39.8,38.7,67.9,66.9,92,71.6,53.2,40.2,59.4,47,71.5,71.6,71.4,61.7,63.8,73.4,80.8,87.2,94.3,76.4,80.5,78.6,78.1,73.4,79,82.6,70.6,85.1,91.4,96.6,76.6,64.6,61.4,81,86.8,95,85.9,69.3,61.9,79,76.8,83.6,88.6,90,76.5,88.5,96.2
2013,59.1,58,78.9,47.9,68.6,38.3,48.9,61.6,51.4,76.5,51.5,73,76.8,84.4,63.7,37,37.7,67.9,66.4,87.5,67.6,54,40.3,60.7,51.7,68.2,69.6,69,60.7,64.2,73.2,79.4,86,94.8,77,83.2,78.4,77.3,73.3,77.5,82.3,68.9,82.6,90.6,95.7,74.2,63.1,63.8,79.2,83.8,93.7,84.1,69.1,61.3,77.3,76.4,80.9,88.7,88.5,76,88.5,96.2
2014,58.5,59.8,79,47,68.4,35.7,55.6,60.9,51.9,75.6,52.2,68.8,77.3,88.1,65.1,31.5,36,68.1,66.9,91.4,70.5,53.7,39.1,61.4,53.8,72.6,70.4,65.3,60.8,61.6,74.6,79.5,88,94.4,78.4,82.7,77.9,81.3,74,78.4,83.3,69.3,82.2,92.5,96.2,75.6,64.1,61.3,79.2,86.9,95.6,87,71.2,60.9,75.8,76,82,88.7,87.5,77.4,83.8,96.3
2015,58.6,58.7,79.8,47.8,68.4,33.9,56.2,60.6,50.4,74.9,51.4,67.9,72.1,89.9,64.5,31.5,34.2,63.4,65.7,90.3,70.2,52.8,37.9,61.6,54.2,73.3,67.5,68.5,61.1,61,73.9,81,88.3,94.7,79.8,81.7,75.3,82.4,73.2,78.5,83,71.4,82.7,92.5,96.6,73.2,67,63.1,79.7,87.1,94.1,87.1,71.1,59.3,77.6,75.1,81.3,87.6,88,75.5,83.2,96.2
2016,62.4,58.3,79.9,44.1,66,33.3,56.6,61.4,51.5,76.1,52.2,69.9,72,90.1,69,28,29.1,65.1,65,88.4,69,51.8,36.2,64.3,52.9,71.4,63.6,66.6,65.6,59.6,74.3,80.4,87.4,94.4,79.3,83.9,79,82.7,72.1,79.1,82,73.5,84.4,93.3,95.9,76.9,69.2,67,72.5,86.4,92.8,86.1,72.3,60.5,79.9,76.3,81.9,86.1,85.9,77.7,83.3,96.4
2017,63,61.1,81.1,42.4,64,32.5,57.2,62.6,50,75.3,53.3,66.4,73.3,80,75.1,26.3,26.9,65.4,64.1,89.7,69.3,49.6,38.7,61.3,51.4,71.1,67.1,68.2,64.4,64.4,74.6,80.5,88.6,94.3,82.3,80.9,77.2,82.8,74.4,79.8,81.8,72.2,83.5,93.3,88.7,82.7,63.6,66.9,77.2,88.1,93.3,85.9,73.8,61.3,78.2,77.1,83.4,87,89.6,77.5,86.4,96.3
2018,61.8,59.8,80.9,41.2,65.1,31.2,55.8,61,50.9,76.6,49.6,65.9,70.4,77.6,71.4,24.3,27.1,60.2,63.7,89.6,69.4,48.5,36.9,59,49.9,70.2,64.4,68.9,62.9,62.2,74.7,82.4,88.9,93.8,83,82.5,74,82.1,73.7,78.4,84.2,71.2,86,92.7,88.8,80,70,66.9,72.9,86.6,91.9,84.5,73.3,62.4,78,78.2,83.1,85.6,88.6,75.5,84.1,96.2
2019,60.6,57.3,81.4,39.7,62.2,32.9,53.5,57.7,49.4,77.9,46.9,..,71.9,79.2,70.5,24.7,26.3,65.3,60,82,64.5,48.5,38,57.4,48.8,70.6,64.6,70.6,63.6,62.5,70.9,82.7,87,93.2,83.7,81.9,78.1,82.3,72.1,80.3,87.4,72.2,..,93.2,88.7,79.8,69,67,76.3,86.3,92.2,83.3,74.2,63.2,77.8,79.1,84,87.1,89.4,74.1,82.9,95.1
