Year,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Country,,,,,,,,,,,,,
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,99.3,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,..
Belgium,99,99,99,99,99,99,99,98.7,98.7,98.6,98.6,98.6,98.6
Canada,100,100,100,100,100,100,100,100,100,100,100,100,100
Chile,74.4,76.5,76.7,76.4,75.7,73.8,75.5,75.5,75.2,77.7,77.8,77.4,78.7
Colombia,93.6,96.4,96.4,96,96.6,97.6,95.7,94.9,94.7,..,..,..,..
Costa Rica,91.9,93.7,93.6,94.4,94.7,94.9,95,95.4,91.6,91.1,91.8,90.9,..
Czechia,100,100,100,100,100,100,100,100,100,100,100,100,100
Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100
Estonia,94.5,94,93.7,93.6,93.9,94,94,94.1,94.5,95,95.2,95.9,96.1
Finland,100,100,100,100,100,100,100,100,100,100,100,100,100
France,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
Germany,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,..
Greece,..,..,..,..,..,..,100,100,100,100,100,100,..
Hungary,97,96,96,96,95,95,95,94,94,94,94,95,..
Iceland,99.8,99.8,99.8,99.8,99.8,99.7,99.6,99.5,99.6,99.6,99.6,99.6,..
Ireland,100,100,100,100,100,100,100,100,100,100,100,100,100
Israel,100,100,100,100,100,100,100,100,100,100,100,100,100
Italy,100,100,100,100,100,100,100,100,100,100,100,100,100
Japan,100,100,100,100,100,100,100,100,100,100,100,..,..
Korea,100,100,100,100,100,100,100,100,100,100,100,100,..
Latvia,..,..,..,..,..,..,..,100,100,100,100,100,100
Lithuania,90.9,91.4,91.9,91.8,92,92.4,92.5,93.9,98.1,98.7,99.1,98.8,98.9
Luxembourg,..,..,..,..,..,..,..,100,100,100,100,100,100
Mexico,82.4,89.2,89.6,91.6,92.9,92.3,89.8,89.3,88.3,80.6,72.4,..,..
Netherlands,99.6,99.6,99.7,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,..
New Zealand,100,100,100,100,100,100,100,100,100,100,100,100,100
Norway,100,100,100,100,100,100,100,100,100,100,100,100,100
Poland,97.5,96.6,91,91.6,91.3,91,91.5,92.6,92.9,93.4,93.3,94,96.7
Portugal,100,100,100,100,100,100,100,100,100,100,100,100,..
Slovak Republic,94.8,95.2,95,94.6,94.2,93.8,94.5,94.6,94.5,94.6,94.6,95,..
Slovenia,100,100,100,100,100,100,100,100,100,100,100,100,..
Spain,..,99,..,..,99.1,..,..,99,100,100,100,100,100
Sweden,100,100,100,100,100,100,100,100,100,100,100,100,..
Switzerland,100,100,100,100,100,100,100,100,100,100,100,100,..
TŸrkiye,96.2,97.6,98.2,98,98.4,98.4,98.2,99.2,98.5,98.8,98.5,98.8,..
United Kingdom,100,100,100,100,100,100,100,100,100,100,100,100,..
United States,30.8,31.8,32.6,33,34.5,35.6,36.3,35.9,34,37.3,38.1,38.4,..
